[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3984205985.735,04/01/2026,11:50 am
BYAPP,ACMS II,1.0,1.2
INFO,VersaLab ACMS II Option Release 1.0.8 Build 47,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1427,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 D0,ACMS_HW_VERSION
INFO,ACMSII302,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,wf282,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Galapagos,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,114,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
,3984213318.85091,54.5502166748047,-0.0028078171890229,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,10,4,1,,26.6229999314547,2,,,37.6344108581543,40.0782012939453,,,,,,,,,,,,,,,,
sample offset = 26.15 mm touchdown = 12.6499999314547 mm,3984213334.48264,54.2261988830566,-0.0285460595041513,0.000721466592176822,0.000101487018745915,5.02315363534015,5.45149399654559,7.21888265534442E-5,1.01546334551267E-5,7.19115778929097E-5,6.3207312959202E-6,1.33650295394123E-8,1.74453609517022E-8,9.99415874481201,10,,,,100,1,3,10,1,1,7.58260158186644E-5,7.70421224194794E-6,,,1.3897044937039E-7,1.55518688416123E-6,5,0.0271009542047977,359.849761962891,0.0962286946354406,,,50.7174491882324,53.979679107666,54.5006332397461,-0.0308858975768089,-0.0262062214314938,,10,4,1,0,26.6229999314547,1,,,36.6568908691406,40.5669593811035,,,,,,,,,,,,,,,,
,3984213366.43725,53.6910905643385,0.00655155815184116,0.000623261748498198,1.52103067049211E-6,4.89867472377666,0.0775800774131609,6.23629773423234E-5,1.52192881192279E-7,6.21351823272968E-5,5.32541642998257E-6,7.87592576821707E-10,1.53727058386626E-9,9.99409866333008,54.8009376525879,,,,10,1,3,56,1,2,6.31576790196649E-5,7.22807987805832E-6,,,8.09523612588237E-7,7.02710667610518E-6,5,0.0142487259581685,257.472381591797,0.100371877375767,,,52.027774810791,53.5144691467285,53.937328338623,-0.0215265341103077,0.03462965041399,,10,4,1,0,26.6229999314547,1,,,37.1456527709961,40.5669593811035,,,,,,,,,,,,,,,,
,3984213398.62364,53.4246474779569,-0.0215265396982431,0.000570592936734954,1.81276832031234E-7,3.93257760553438,0.014869594573969,5.71034319444371E-5,1.81417058897228E-8,5.69689787727835E-5,3.91629894404217E-6,8.47066937631202E-10,7.05411541089734E-10,9.99227046966553,300,,,,1,1,3,320,1,3,5.67937516025054E-5,4.51476709069737E-6,,,2.75677422223453E-6,3.45606576956925E-5,5,0.0431946888566017,203.871002197266,0.226832427062956,,,53.6561393737793,53.3886756896973,53.494213104248,-0.0262062214314938,-0.0168468579649925,,10,4,1,0,26.6229999314547,1,,,36.1681327819824,39.5894432067871,,,,,,,,,,,,,,,,
,3984213439.37992,53.5775957107544,0.00187187048140913,0.000535441138976122,1.04917509276E-7,3.18883562727285,0.00904575838968859,5.35966025595389E-5,1.05020358670148E-8,5.35136147769552E-5,2.98141567528065E-6,2.6627590047028E-9,2.2518360618456E-9,9.99020671844482,1642.10522460938,,,,1,1,3,2048,1,4,5.31910415356257E-5,3.38411383207941E-6,,,1.20949368920265E-5,0.000177384874405107,5,0.0397297218441963,185.347579956055,1.01973014739584,,,55.1969223022461,53.4317436218262,53.7902870178223,-0.0028078171890229,0.00655155815184116,,10,4,1,0,26.6229999314547,1,,,36.1681327819824,40.5669593811035,,,,,,,,,,,,,,,,
,3984213504.68568,54.6497161102295,0.020590603351593,0.0005170922386748,9.95775189992946E-8,3.01072114900663,0.00701449944822677,5.17399201683077E-5,9.96366314989661E-9,5.16685048086932E-5,2.7175264224838E-6,1.08422707602913E-8,1.5063026872428E-8,9.99406719207764,8994.5947265625,,,,10,1,3,9216,1,5,5.15704923975673E-5,3.83336709547672E-6,,,6.2642092416354E-5,0.000961150552029721,5,0.279792279005051,4.46393346786499,4.00845978165014,,,57.1765060424805,54.3735580444336,54.9429664611816,0.0112312454730272,0.0299499612301588,,10,4,1,0,26.6229999314547,1,,,36.6568908691406,41.055721282959,,,,,,,,,,,,,,,,
sample offset = 26.15 mm,3984213551.30723,55.6554078082649,-0.00514765537809581,0.000705834708708166,4.42573429909923E-5,6.44997842364455,2.70650447527952,7.06247245746988E-5,4.42832099439749E-6,7.01776918264496E-5,7.93368080804455E-6,6.24443965955378E-9,7.0592595271235E-9,9.99415874481201,10,,,,10,1,3,10,1,1,7.40129228672808E-5,9.32574323374162E-6,,,1.93149851668295E-7,1.4897539699632E-6,5,0.00385750574059784,239.798980712891,0.0681619940727734,,,58.6821708679199,55.3160400390625,55.9792213439941,-0.00748749356716871,-0.0028078171890229,,10,4,1,0,26.6229999314547,1,,,36.6568908691406,40.5669593811035,,,,,,,,,,,,,,,,
,3984213582.61992,56.4090976715088,-0.00280780578032136,0.000647628681607329,1.20664789206194E-6,5.31753726137468,0.0764784123469414,6.48011094770938E-5,1.20736039607986E-7,6.45222300278122E-5,6.00546598528238E-6,8.60603347941402E-10,1.07021850251817E-9,9.99409866333008,54.8009376525879,,,,1,1,3,56,1,2,6.5803393162728E-5,8.08003271595339E-6,,,8.91981699169264E-7,7.31228806216677E-6,5,0.00950056407600641,252.945999145508,0.0857504602662797,,,59.3975982666016,56.0445213317871,56.7581787109375,-0.0121671697124839,0.00655155815184116,,10,4,1,0,26.6229999314547,1,,,37.6344108581543,40.5669593811035,,,,,,,,,,,,,,,,
,3984213614.65911,57.1774549484253,0.00187187048140913,0.000592590169761277,3.55358697552047E-7,4.549265374982,0.0259468448346641,5.93048568451243E-5,3.55633585610841E-8,5.91180170544522E-5,4.70383938609627E-6,1.49542900303072E-9,1.55952500271311E-9,9.99227046966553,300,,,,1,1,3,320,1,3,5.89439888624486E-5,5.40830135992105E-6,,,3.28986732256453E-6,3.58522274837014E-5,5,0.0410857014358044,212.68977355957,0.23347487574082,,,60.1477279663086,56.7919120788574,57.5363426208496,-0.0028078171890229,0.00655155815184116,,10,4,1,0,26.6229999314547,1,,,37.1456527709961,43.9882698059082,,,,,,,,,,,,,,,,
,3984213655.96036,58.0413828457103,0.013571072020568,0.000554825532897741,7.73954708098705E-8,3.75322124130786,0.00595659048477034,5.55369421809232E-5,7.74713406750392E-9,5.54178290251028E-5,3.63540547280211E-6,1.77882793369888E-9,1.85956727778444E-9,9.99020671844482,1642.10522460938,,,,1,1,3,2048,1,4,5.51113426108253E-5,4.02887835682956E-6,,,1.43118465985026E-5,0.000183739979547681,5,0.0389302261173725,188.207138061523,1.03313532970216,,,61.0699272155762,57.5780601501465,58.4979743957519,-0.0028078171890229,0.0299499612301588,,10,4,1,0,26.6229999314547,1,,,36.6568908691406,40.5669593811035,,,,,,,,,,,,,,,,
,3984213721.18148,59.6231262207031,0.018250759691,0.000533445398470981,1.53345977290182E-7,3.41338111991729,0.0138320432783323,5.33762069254294E-5,1.53437008520155E-8,5.32815148664434E-5,3.17799296462843E-6,2.28703414631189E-8,1.71896520784065E-8,9.99406719207764,8994.5947265625,,,,10,1,3,9216,1,5,5.32282015918091E-5,4.24350043720785E-6,,,7.02353218002827E-5,0.000992186949588358,5,0.275649398565292,4.93438291549683,4.00551948285787,,,62.4766464233398,59.2956657409668,59.9443817138672,0.0159109216183424,0.0205905977636576,,10,4,1,0,26.6229999314547,1,,,36.6568908691406,40.0782012939453,,,,,,,,,,,,,,,,
,3984214446.22715,70.0446319580078,0.00655155815184116,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,26.5829996268749,2,,,36.6568908691406,40.0782012939453,,,,,,,,,,,,,,,,
sample offset = 26.15 mm touchdown = 12.6099996268749 mm,3984214461.10376,70.0724797058105,-0.0098273316398263,0.000837558319849513,5.64690466550704E-5,4.46544517432987,2.74933408611218,8.38047844981741E-5,5.65020509448918E-6,8.35503926239451E-5,6.52485993489598E-6,7.74124583328998E-9,9.25445085792695E-9,9.99415874481201,10,,,,10,1,3,10,1,1,8.83898110306309E-5,7.55839610124565E-6,,,1.7026953802457E-7,1.78037836917611E-6,5,0.00175391358789057,163.826232910156,0.0715032644532763,,,69.5898361206055,70.0370178222656,70.1160736083984,-0.0121671697124839,-0.00748749356716871,,1,4,1,0,26.5829996268749,1,,,36.1681327819824,40.0782012939453,,,,,,,,,,,,,,,,
,3984214492.36275,70.1524729826012,0.0135710779577494,0.000788193020900712,1.08193910952274E-6,5.75462181246421,0.0650977301101193,7.88658434794841E-5,1.08257797523307E-7,7.84683937976967E-5,7.90774573061626E-6,9.37150162914904E-10,8.28740660167834E-10,9.99409866333008,54.8009376525879,,,,1,1,3,56,1,2,8.12981741765165E-5,1.04922905638366E-5,,,1.16525779958465E-6,9.03349223335681E-6,5,0.00659345556050539,241.088302612305,0.0921657040374683,,,69.4900588989258,70.1192169189453,70.1907424926758,-0.0215265341103077,0.0486686900258064,,1,4,1,0,26.5829996268749,1,,,36.6568908691406,40.0782012939453,,,,,,,,,,,,,,,,
,3984214523.92803,70.2206076108492,0.0112312403507531,0.000698692774796384,3.20873432166057E-7,6.13592358222926,0.0118212640281281,6.99233249257485E-5,3.21121644114981E-8,6.95227427795799E-5,7.47392835637125E-6,6.55553843387958E-10,1.8420115481176E-9,9.99227046966553,300,,,,1,1,3,320,1,3,6.94246162839431E-5,8.68508123534649E-6,,,5.26237681697239E-6,4.22140019509243E-5,5,0.0370728075504303,225.753051757813,0.236428562730718,,,69.3434600830078,70.1937866210937,70.2509155273437,-0.0121671697124839,0.03462965041399,,1,4,1,0,26.5829996268749,1,,,36.6568908691406,40.0782012939453,,,,,,,,,,,,,,,,
,3984214564.93121,70.2662106682273,0.00655156368156895,0.00062352434364183,8.8887901953565E-8,5.38720002338107,0.00631117418146041,6.24135577185428E-5,8.89750377131357E-9,6.21378747697404E-5,5.85975308233452E-6,2.07499279269232E-9,2.11043595418134E-9,9.99020671844482,1642.10522460938,,,,1,1,3,2048,1,4,6.18653561593402E-5,6.29536156551134E-6,,,2.19684907278861E-5,0.000206241398700513,5,0.0388662256300449,190.980422973633,1.05180631984555,,,69.1915588378906,70.2483673095703,70.2858276367187,0.00187188189011067,0.0112312454730272,,1,4,1,0,26.5829996268749,1,,,36.1681327819824,39.5894432067871,,,,,,,,,,,,,,,,
