[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2008, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3960873546.944,07/05/2025,10:38 am
BYAPP,VSM,2.0,1.0
INFO,VersaLab VSM Option Release 1.6.0 Build 0,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1427,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM945,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,823,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven Module,OVEN_MODULE_NAME
INFO,unknown,OVEN_HW_VERSION
INFO,OVB415,OVEN_SERIAL_NUMBER
INFO,unknown,OVEN_SOFTWARE_VERSION
INFO,1047,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Galapagos,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3960874791.634,340.010437011719,9999.9951171875,,,2,,,,17.572000154078,,,,,,,340.010437011719,340.010437011719,9999.9951171875,9999.9951171875,,,0.000900383689440787,,,,40,293.973419189453,0,0,0,0.042724609375,39.1006851196289,,,,,,,,,,,,,,,,
,3960874824.4665,340.031555175781,9999.99560546875,0.116119359360605,2.06026688532266E-5,1,0.999253354069792,40.0298881530762,1.99683552611461,17.5500009208918,1.16157772355852,0.202534529134123,25,-0.000361036132385992,0.116116965564116,-0.0002942648655598,339.955718994141,339.955718994141,9999.986328125,10000.0048828125,51.0215832213131,19.3286745879534,0.00087364501086995,0,0,0,40,293.964294433594,1,4,7,2.10525512695313,43.0107536315918,,,,,,,,,,,,,,,,
,3960875023.306,344.941864013672,10000.0444335938,0.115473604640724,3.88291481308437E-5,1,0.999253354069792,40.0298881530762,1.99250861715645,17.5599996000528,1.15262236039244,0.201951145220394,25,-0.000262951066118379,0.115471243590717,-0.000197546689959034,344.952453613281,344.952453613281,10000.0419921875,10000.046875,50.9465468834669,19.2014445387307,0.000670894049108028,0,0,0,40,293.963165283203,1,4,7,2.0867919921875,50.8308906555176,,,,,,,,,,,,,,,,
,3960875195.538,350.113800048828,10000.056640625,,,2,,,,17.572000154078,,,,,,,350.113800048828,350.113800048828,10000.056640625,10000.056640625,,,0.000607409048825502,,,,40,293.950714111328,0,0,0,0.03936767578125,48.3870964050293,,,,,,,,,,,,,,,,
,3960875230.1175,349.957702636719,10000.0024414062,0.114868058212151,3.08756089928735E-5,1,0.999253354069792,40.0298881530762,2.00384896244499,17.5700001418591,1.15265430649875,0.201903187758322,25,-0.00026581021468019,0.114865781502454,-0.000201688879889431,349.938415527344,349.938415527344,9999.9951171875,10000.009765625,50.1016064541784,19.1748901268227,0.000594845332670957,0,0,0,40,293.931640625,1,4,7,2.08206176757813,52.7859268188477,,,,,,,,,,,,,,,,
,3960875428.172,354.977630615234,10000.0327148438,0.114163287336319,3.76540289123593E-5,1,0.999253354069792,40.0298881530762,1.98918499367655,17.5700001418591,1.13777720110924,0.1993435868911,25,-0.000258801482400531,0.114161084909289,-0.000195941524206954,354.919189453125,354.919189453125,10000.0234375,10000.0419921875,50.5072716556592,19.1159809534447,0.000520822417456657,0,0,0,40,293.8984375,1,4,7,2.07000732421875,54.2522010803223,,,,,,,,,,,,,,,,
,3960875602.251,360.087738037109,9999.9677734375,,,2,,,,17.5819997645617,,,,,,,360.087738037109,360.087738037109,9999.9677734375,9999.9677734375,,,0.000483060081023723,,,,40,293.875457763672,0,0,0,0.03875732421875,52.2971649169922,,,,,,,,,,,,,,,,
,3960875624.836,360.035583496094,10000.0302734375,0.113694436923735,3.61371445556896E-5,1,0.999253354069792,40.0298881530762,1.98958904536547,17.5899993628263,1.13339707019247,0.198124287487203,25,-0.000300895685013491,0.113692326399417,-0.000239118810931298,360.140289306641,360.140289306641,9999.9951171875,10000.0654296875,51.2420024637362,18.9707066902041,0.000453937595011666,0,0,0,40,293.854705810547,1,4,7,2.05307006835938,53.7634429931641,,,,,,,,,,,,,,,,
,3960875822.664,365.063629150391,9999.9931640625,0.113241931776009,3.10391193998852E-5,1,0.999253354069792,40.0298881530762,1.98856923772416,17.5899993628263,1.12839743740773,0.196964603018724,25,-0.000326794231927854,0.113239895687814,-0.000265991723536869,365.087493896484,365.087493896484,9999.9765625,10000.009765625,51.535894786967,18.9231979325269,0.000360233505489305,0,0,0,40,293.816162109375,1,4,7,2.06344604492187,55.2297172546387,,,,,,,,,,,,,,,,
,3960875993.871,370.089874267578,10000.009765625,,,2,,,,17.5819997645617,,,,,,,370.089874267578,370.089874267578,10000.009765625,10000.009765625,,,0.000378984463168308,,,,40,293.793060302734,0,0,0,0.02685546875,53.2746849060059,,,,,,,,,,,,,,,,
,3960876027.5125,369.951385498047,10000.0048828125,0.112508095641604,2.80990245373261E-5,1,0.999253354069792,40.0298881530762,1.97741678352871,17.5899993628263,1.11504776861733,0.195695989224527,25,-0.000220096976590126,0.112506062228201,-0.000160337792459643,369.997650146484,369.997650146484,9999.9912109375,10000.0185546875,49.822565072813,18.8744800470047,0.000367334578186274,0,0,0,40,293.763641357422,1,4,7,2.04132080078125,55.2297172546387,,,,,,,,,,,,,,,,
,3960876228.402,375.047119140625,10000.0610351562,0.111898718051788,3.81677950441849E-5,1,0.999253354069792,40.0298881530762,1.97715410075737,17.5999999046326,1.1089164218887,0.194358938701785,25,-0.00024385971893704,0.111896750164869,-0.000185017279270894,375.024383544922,375.024383544922,10000.033203125,10000.0888671875,50.9293510560438,18.8304010568717,0.000385260354960337,0,0,0,40,293.725555419922,1,4,7,2.04864501953125,56.2072334289551,,,,,,,,,,,,,,,,
,3960876391.658,380.088317871094,9999.9716796875,,,2,,,,17.5920003063679,,,,,,,380.088317871094,380.088317871094,9999.9716796875,9999.9716796875,,,0.000322459498420358,,,,40,293.703002929687,0,0,0,0.0286865234375,54.2522010803223,,,,,,,,,,,,,,,,
,3960876421.274,379.962097167969,10000.0234375,0.111146865112863,5.8088291514967E-5,1,0.999253354069792,40.0298881530762,1.97900828950717,17.5999999046326,1.10228915994733,0.19400449250455,25,-0.000162769820405001,0.111144903694199,-0.00010482771792427,379.993316650391,379.993316650391,9999.9951171875,10000.0517578125,51.3881669968324,18.7491756724654,0.000358759629307315,0,0,0,40,293.676818847656,1,4,7,2.02117919921875,55.2297172546387,,,,,,,,,,,,,,,,
,3960876620.092,384.962493896484,10000.01171875,0.110667125218148,3.3242446444246E-5,1,0.999253354069792,40.0298881530762,1.97809459015433,17.6100004464388,1.09717913949639,0.192410980734033,25,-0.000229556584233922,0.11066523679408,-0.000172292548368723,384.950775146484,384.950775146484,9999.9814453125,10000.0419921875,50.9145001141785,18.75225918464,0.000275270256679505,0,0,0,40,293.635498046875,1,4,7,2.01431274414062,56.6959953308105,,,,,,,,,,,,,,,,
,3960876791.276,390.063293457031,10000,,,2,,,,17.6019999168515,,,,,,,390.063293457031,390.063293457031,10000,10000,,,0.000304636021610349,,,,40,293.611968994141,0,0,0,0.04058837890625,53.7634429931641,,,,,,,,,,,,,,,,
,3960876821.9775,389.926879882812,10000.056640625,0.110018867049441,6.45931238064743E-5,1,0.999253354069792,40.0298881530762,1.98070743589856,17.6100004464388,1.09210567238079,0.191455019485296,25,-0.00023433471441368,0.110017016639134,-0.00017775660654161,390.047546386719,390.047546386719,10000.056640625,10000.056640625,50.2540240154284,18.7493270372824,0.000294941972242668,0,0,0,40,293.581604003906,1,4,7,2.03155517578125,55.7184753417969,,,,,,,,,,,,,,,,
,3960877015.8475,395.042633056641,10000.0024414062,0.109328835920495,7.78095747721182E-5,1,0.999253354069792,40.0298881530762,1.98192556375637,17.6100004464388,1.08620158665465,0.188538749201261,25,-0.000416364308759149,0.109327108675996,-0.000360399296496033,395.001129150391,395.001129150391,9999.9580078125,10000.046875,50.60810173464,18.6861613342031,0.000250551995122805,0,0,0,40,293.540588378906,1,4,7,2.03521728515625,56.6959953308105,,,,,,,,,,,,,,,,
,3960877181.077,400.070587158203,10000.009765625,,,2,,,,17.6120004586577,,,,,,,400.070587158203,400.070587158203,10000.009765625,10000.009765625,,,0.000277588522294536,,,,40,293.517913818359,0,0,0,0.003662109375,54.2522010803223,,,,,,,,,,,,,,,,
,3960877211.696,399.973205566406,10000.0258789062,0.108760526271904,6.07626086313576E-5,1,0.999253354069792,40.0298881530762,1.98245338223776,17.6199991255999,1.08042722459915,0.18983711190917,25,-0.000189291758864457,0.108758704176043,-0.00013378863239006,400.008178710937,400.008178710937,10000.0234375,10000.0283203125,51.5507457288324,18.7095179924278,0.000272388919256628,0,0,0,40,293.482788085937,1,4,7,2.02041625976562,55.7184753417969,,,,,,,,,,,,,,,,
,3960877408.566,405.223571777344,10000.0024414062,0.108173712462634,6.61229655994064E-5,1,0.999253354069792,40.0298881530762,1.98278008523688,17.6100004464388,1.07481674148745,0.188537380627007,25,-0.000218921555086196,0.108171915853799,-0.000163717574992228,405.187530517578,405.187530517578,9999.986328125,10000.0185546875,52.1815199438517,18.6985908012977,0.000264234055066481,0,0,0,40,293.440246582031,1,4,7,2.01614379882813,57.1847534179687,,,,,,,,,,,,,,,,
,3960877573.613,410.067626953125,9999.9677734375,,,2,,,,17.6120004586577,,,,,,,410.067626953125,410.067626953125,9999.9677734375,9999.9677734375,,,0.000271730241365731,,,,40,293.417419433594,0,0,0,0.042724609375,54.2522010803223,,,,,,,,,,,,,,,,
