[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2008, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3989292603.304,05/30/2026,8:47 am
BYAPP,VSM,2.0,1.0
INFO,VersaLab VSM Option Release 1.6.0 Build 0,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1427,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM945,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,823,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A4,OVEN_HW_VERSION
INFO,OVB415,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB824,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,105.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3989298170.101,49.953426361084,9999.953125,,,2,,,,20.0999996179342,,,,,,,49.953426361084,49.953426361084,9999.953125,9999.953125,,,90.6728057861328,,,,40,49.2996406555176,0,0,0,0.04486083984375,37.6344108581543,,,,,,,,,,,,,,,,
,3989298262.554,50.1974506378174,10000.0161132813,0.192947153892451,4.63443893307524E-5,1,0.999253354069792,40.0298881530762,1.99467059492625,20.0800001621246,0.93037779116941,0.222921766284558,2.5,0.00913473913109337,0.19134591515129,0.0104837225832266,50.1971702575684,50.1971702575684,10000.013671875,10000.0185546875,46.5397252920434,17.0017638924163,90.6209259033203,0,0,0,40,49.7968559265137,1,4,1,1.8963623046875,45.4545478820801,,,,,,,,,,,,,,,,
,3989298787.233,58.5529518127441,10000.0087890625,,,2,,,,20.0999996179342,,,,,,,58.5529518127441,58.5529518127441,10000.0087890625,10000.0087890625,,,92.8743591308594,,,,40,58.6768531799316,0,0,0,0.039520263671875,49.364616394043,,,,,,,,,,,,,,,,
,3989299165.9275,60.2280426025391,10000.0209960938,0.174878367553553,5.20879674132034E-5,1,0.999253354069792,40.0298881530762,1.98202792438859,20.0800001621246,0.8418370511883,0.196163940781029,2.5,0.00727735625513287,0.174009162272574,0.00844577581843434,60.2282295227051,60.2282295227051,10000.0185546875,10000.0234375,46.8766071838319,17.0110556285857,93.0903930664062,0,0,0,40,59.7117347717285,1,4,1,1.89697265625,53.7634429931641,,,,,,,,,,,,,,,,
,3989299403.995,63.7686996459961,9999.966796875,,,2,,,,20.1100001597405,,,,,,,63.7686996459961,63.7686996459961,9999.966796875,9999.966796875,,,93.8467712402344,,,,40,63.9460983276367,0,0,0,0.043182373046875,51.808406829834,,,,,,,,,,,,,,,,
,3989299968.3055,70.2359580993652,9999.99560546875,0.159599431073166,4.61756076464806E-5,1,0.999253354069792,40.0298881530762,1.99408489263776,20.0999993830919,0.775582094892337,0.174414076629972,2.5,0.00560149010961936,0.159144877564143,0.00649134076454481,70.2361755371094,70.2361755371094,9999.986328125,10000.0048828125,46.8250197015626,17.0170734505939,95.2209167480469,0,0,0,40,69.6658706665039,1,4,1,1.89804077148438,54.7409591674805,,,,,,,,,,,,,,,,
,3989300021.395,70.6986312866211,9999.986328125,,,2,,,,20.1199997702241,,,,,,,70.6986312866211,70.6986312866211,9999.986328125,9999.986328125,,,95.3270721435547,,,,40,70.8694534301758,0,0,0,0.04913330078125,52.2971649169922,,,,,,,,,,,,,,,,
,3989300637.966,80.4333801269531,9999.9951171875,,,2,,,,20.139999922514,,,,,,,80.4333801269531,80.4333801269531,9999.9951171875,9999.9951171875,,,97.02978515625,,,,40,79.7097396850586,0,0,0,0.041656494140625,53.7634429931641,,,,,,,,,,,,,,,,
,3989300764.662,80.1852684020996,10000,0.147087102159261,2.05325851016124E-5,1,0.999253354069792,40.0298881530762,1.99393098049249,20.1299991458654,0.716427253780645,0.156072179189861,2.5,0.00434046556229937,0.146836481093545,0.00500337012469072,80.1856536865234,80.1856536865234,9999.9951171875,10000.0048828125,46.8875499831011,17.0220989986126,96.9736480712891,0,0,0,40,79.5762100219727,1,4,1,1.89971923828125,55.2297172546387,,,,,,,,,,,,,,,,
,3989301255.478,87.9395217895508,10000.02734375,,,2,,,,20.1600000748038,,,,,,,87.9395217895508,87.9395217895508,10000.02734375,10000.02734375,,,98.1722030639648,,,,40,88.4291458129883,0,0,0,0.042266845703125,52.7859268188477,,,,,,,,,,,,,,,,
