[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2008, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3989213979.987,05/29/2026,10:56 am
BYAPP,VSM,2.0,1.0
INFO,VersaLab VSM Option Release 1.6.0 Build 0,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1427,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM945,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,823,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A4,OVEN_HW_VERSION
INFO,OVB415,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB824,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,105.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3989214432.534,300.063690185547,0.0108569264411926,,,2,,,,21.2300003060699,,,,,,,300.063690185547,300.063690185547,0.0108569264411926,0.0108569264411926,,,112.911865234375,,,,40,299.581878662109,0,0,0,0.044708251953125,37.6344108581543,,,,,,,,,,,,,,,,
,3989214524.3545,299.769729614258,-0.012541500851512,0.000152621247798418,1.03565320315019E-6,1,0.999253354069792,40.0298881530762,1.98280792780105,21.2200004607439,0.000744202362230512,0.000141291939132291,0.25,9.95678608857239E-7,0.000152616014622144,1.09708764430239E-6,299.769226074219,299.769226074219,-0.012541500851512,-0.012541500851512,46.5162764364665,17.0089816547735,112.98609161377,0,0,0,40,299.190734863281,1,4,1,1.8927001953125,44.4770278930664,,,,,,,,,,,,,,,,
,3989214528.176,299.770660400391,-0.00786182470619678,0.000151689675048269,1.29693106782082E-6,1,0.999253354069792,40.0298881530762,1.98271913297797,21.2200004607439,0.000739438777529175,0.000141455057019983,0.25,1.20092968712648E-6,0.000151684333392515,1.30171303915293E-6,299.770660400391,299.770660400391,-0.00786182470619678,-0.00786182470619678,46.6726021403126,17.0080950585819,112.990081787109,0,0,0,40,299.197998046875,6,4,1,1.8927001953125,45.4545478820801,,,,,,,,,,,,,,,,
,3989214547.3485,299.760009765625,-0.0055219636997208,0.000152207347439316,1.33614635112115E-6,1,0.999253354069792,40.0298881530762,1.98276536448034,21.2200004607439,0.000743843422570697,0.000131759288012712,0.25,-8.80597889197987E-7,0.000152203373388258,-7.79403858528271E-7,299.760650634766,299.760650634766,-0.012541500851512,0.00149757345207036,46.8617562419665,17.011072628802,113.006050109863,0,0,0,40,298.904113769531,6,4,1,1.89437866210938,45.9433059692383,,,,,,,,,,,,,,,,
,3989214567.32,299.656539916992,0.0085170881357044,0.000152525528437724,1.2346118086337E-6,1,0.999253354069792,40.0298881530762,1.98253360034964,21.2200004607439,0.000744288169656236,0.000137620205678342,0.25,2.64852495335246E-7,0.000152520779686276,3.66265212517044E-7,299.660614013672,299.660614013672,0.00617724983021617,0.0108569264411926,46.6030372021011,17.0126138532172,113.015357971191,0,0,0,40,298.148681640625,6,4,1,1.89453125,46.4320640563965,,,,,,,,,,,,,,,,
,3989214587.2685,299.301528930664,-0.000842287437990308,0.000153707156743712,1.00015126556332E-6,1,0.999253354069792,40.0298881530762,1.98242142423543,21.2200004607439,0.000750313639871216,0.000137036333272632,0.25,-6.97221546986871E-8,0.000153702582100896,3.26301403088045E-8,299.311737060547,299.311737060547,-0.00786182470619678,0.00617724983021617,46.7828117615242,17.0137463668155,113.033981323242,0,0,0,40,296.412170410156,6,4,1,1.89498901367187,46.9208221435547,,,,,,,,,,,,,,,,
,3989214607.266,298.646392822266,-0.000842287437990308,0.00015232168712787,9.23459258589624E-7,1,0.999253354069792,40.0298881530762,1.98244813757503,21.2200004607439,0.000742330186431586,0.00014252008031228,0.25,1.30680444152804E-6,0.000152316211344952,1.40845669869077E-6,298.659362792969,298.659362792969,-0.00786182470619678,0.00617724983021617,46.6960509958895,17.0135965954462,113.026802062988,0,0,0,40,295.086547851562,2,4,1,1.89468383789062,47.8983383178711,,,,,,,,,,,,,,,,
,3989214627.244,297.893371582031,0.00383741164114326,0.000152066449710869,1.14185751348478E-6,1,0.999253354069792,40.0298881530762,1.9824071404576,21.2200004607439,0.000741083457827618,0.000142211738727173,0.25,1.29065708821698E-6,0.000152060962142222,1.39244398710044E-6,297.907653808594,297.907653808594,0.00149757345207036,0.00617724983021617,46.7679608196588,17.0173659237287,113.035575866699,0,0,0,40,294.082641601562,6,4,1,1.89468383789062,48.8758583068848,,,,,,,,,,,,,,,,
,3989214647.224,297.134613037109,-0.000842276029288769,0.000152227272322167,1.04280229484865E-6,1,0.999253354069792,40.0298881530762,1.9825857548841,21.2200004607439,0.000741854188902542,0.000142799804912771,0.25,1.37882309780194E-6,0.000152221689835362,1.4810240667038E-6,297.148223876953,297.148223876953,-0.00318212551064789,0.00149757345207036,46.9555516642742,17.01511415464,113.00072479248,0,0,0,40,293.235046386719,6,4,1,1.89437866210938,48.3870964050293,,,,,,,,,,,,,,,,
,3989214667.277,296.394012451172,-0.00786181318107992,0.000151682342591289,1.05135070504262E-6,1,0.999253354069792,40.0298881530762,1.98271339015538,21.2200004607439,0.000739874437409505,0.000138858407516077,0.25,6.69102445605374E-7,0.00015167722445453,7.71261655315941E-7,296.41259765625,296.41259765625,-0.012541500851512,-0.00318212551064789,46.8289278441588,17.0158065421908,112.999397277832,0,0,0,40,292.465606689453,6,4,1,1.89437866210938,48.8758583068848,,,,,,,,,,,,,,,,
,3989214687.2305,295.67643737793,0.0248959772288799,0.000152581612931163,1.34044027301802E-6,1,0.999253354069792,40.0298881530762,1.98271760123391,21.2200004607439,0.00074334709959973,0.000144679725828959,0.25,1.69654982466791E-6,0.000152575744487625,1.79957961987559E-6,295.6943359375,295.6943359375,0.0202163010835648,0.0295756533741951,46.9305395516588,17.0145678487194,112.975715637207,0,0,0,40,291.743835449219,2,4,1,1.89407348632813,51.808406829834,,,,,,,,,,,,,,,,
,3989214707.2285,294.975555419922,0.0178764518350363,0.000152031228531534,1.65326379236729E-6,1,0.999253354069792,40.0298881530762,1.98278941733566,21.2200004607439,0.000741568102471691,0.000139376800843201,0.25,7.09766508029181E-7,0.000152026015722914,8.12745299867562E-7,294.993835449219,294.993835449219,0.0108569264411926,0.0248959772288799,46.8656643845626,17.0155574990918,112.980773925781,0,0,0,40,291.040618896484,2,4,1,1.8927001953125,49.364616394043,,,,,,,,,,,,,,,,
,3989214727.1345,294.296340942383,-0.0289203794673085,0.000152606910819776,1.4831934081273E-6,1,0.999253354069792,40.0298881530762,1.98277762447353,21.2200004607439,0.000744853302677587,0.000137273717066255,0.25,1.73439929551084E-7,0.000152602016938748,2.77109474096534E-7,294.307769775391,294.307769775391,-0.0499789342284203,-0.00786182470619678,47.0454389439857,17.015479861756,112.966674804688,0,0,0,40,290.350189208984,2,4,1,1.893310546875,49.8533744812012,,,,,,,,,,,,,,,,
,3989214747.1985,293.615676879883,0.00149756204336882,0.000152605925621596,1.15475594480546E-6,1,0.999253354069792,40.0298881530762,1.98276111174231,21.2200004607439,0.000745040665845886,0.000136188640492103,0.25,-4.87014479407959E-8,0.000152601156312827,5.52606080735855E-8,293.632965087891,293.632965087891,-0.0265805292874575,0.0295756533741951,46.8187666734088,17.0149918512462,112.950439453125,0,0,0,40,289.666229248047,2,4,1,1.89544677734375,49.8533744812012,,,,,,,,,,,,,,,,
,3989214767.174,292.949096679687,0.0319154914468527,0.000154163211881877,1.7643360287236E-6,1,0.999253354069792,40.0298881530762,1.98286384486089,21.2200004607439,0.000751867452376175,0.000142029590850188,0.25,8.60843887330072E-7,0.000154157745967305,9.66122733840022E-7,292.965850830078,292.965850830078,0.0295756533741951,0.0342553295195103,46.8891132401396,17.0150632557257,112.941398620605,0,0,0,40,288.991851806641,2,4,1,1.8927001953125,49.8533744812012,,,,,,,,,,,,,,,,
,3989214787.168,292.288909912109,-0.0242406912147999,0.000153455953544909,1.54294358401267E-6,1,0.999253354069792,40.0298881530762,1.98280785507162,21.2200004607439,0.000749703667683292,0.000134241030617534,0.25,-6.04498618980201E-7,0.000153451485838702,-4.99374274337159E-7,292.306121826172,292.306121826172,-0.0265805292874575,-0.0219008531421423,46.9782188913319,17.0146145359824,112.926498413086,0,0,0,40,288.321411132812,2,4,1,1.89559936523438,49.8533744812012,,,,,,,,,,,,,,,,
,3989214807.1305,291.631042480469,-0.0382797438651323,0.000152016101661435,1.4629239153307E-6,1,0.999253354069792,40.0298881530762,1.9827582924507,21.2200004607439,0.000742474581559456,0.000133942400059811,0.25,-4.01601688359069E-7,0.000152011515431671,-2.97189934327883E-7,291.648284912109,291.648284912109,-0.0406195819377899,-0.0359399057924747,46.9805637768896,17.0146079012391,112.923309326172,0,0,0,40,287.648529052734,2,4,1,1.89208984375,51.3196487426758,,,,,,,,,,,,,,,,
,3989214827.114,290.972702026367,-0.0289203794673085,0.000152652920890233,1.63683246348471E-6,1,0.999253354069792,40.0298881530762,1.98278369822651,21.2200004607439,0.000745454440368687,0.000135267712797122,0.25,-2.47366058022292E-7,0.000152648182391007,-1.42239022785125E-7,290.989562988281,290.989562988281,-0.0359399057924747,-0.0219008531421423,47.1431425088896,17.01481733931,112.907341003418,0,0,0,40,286.977355957031,2,4,1,1.89453125,50.8308906555176,,,,,,,,,,,,,,,,
,3989214847.101,290.317657470703,-0.0195610150694847,0.000153093752130892,1.39310668235949E-6,1,0.999253354069792,40.0298881530762,1.98275086939993,21.2200004607439,0.000746816036181141,0.000139909691786496,0.25,6.22945676493938E-7,0.000153088372401688,7.28631878485229E-7,290.333312988281,290.333312988281,-0.0219008531421423,-0.0172211769968271,47.0743591991973,17.0152607478595,112.891647338867,0,0,0,40,286.30419921875,2,4,1,1.89361572265625,51.808406829834,,,,,,,,,,,,,,,,
,3989214871.401,289.52978515625,0.0108569264411926,,,2,,,,21.1600002387166,,,,,,,289.52978515625,289.52978515625,0.0108569264411926,0.0108569264411926,,,112.871955871582,,,,40,285.501373291016,0,0,0,0.0286865234375,48.8758583068848,,,,,,,,,,,,,,,,
