[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2008, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3989230493.355,05/29/2026,3:32 pm
BYAPP,VSM,2.0,1.0
INFO,VersaLab VSM Option Release 1.6.0 Build 0,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1427,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM945,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,823,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A4,OVEN_HW_VERSION
INFO,OVB415,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB824,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,105.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3989235500.611,49.9720687866211,50.0319747924805,,,2,,,,20.5799995476007,,,,,,,49.9720687866211,49.9720687866211,50.0319747924805,50.0319747924805,,,90.5560073852539,,,,40,49.3225440979004,0,0,0,0.0439453125,38.6119270324707,,,,,,,,,,,,,,,,
,3989235593.797,50.1984748840332,50.013256072998,0.00114951198730662,1.39591179816703E-6,1,0.999253354069792,40.0298881530762,1.99390513330291,20.5700006335974,0.00553648476327738,0.00134147178217778,0.25,5.73775173752799E-5,0.00113968271222637,6.53525616420126E-5,50.198055267334,50.198055267334,49.9851760864258,50.0413360595703,46.5717720613318,17.0503201851552,90.5754318237305,0,0,0,40,49.7959060668945,1,4,1,1.903076171875,45.9433059692383,,,,,,,,,,,,,,,,
,3989235984.54,55.2013683319092,49.989860534668,0.00109489920581676,8.55284892731528E-7,1,0.999253354069792,40.0298881530762,1.99385696046265,20.5700006335974,0.00528609958508423,0.00126386251307204,0.25,5.13735498671546E-5,0.00108755733047296,5.90585695568676E-5,55.2015266418457,55.2015266418457,49.989860534668,49.989860534668,47.1095324825627,17.0562735603349,92.1171875,0,0,0,40,54.7222671508789,1,4,1,1.90200805664062,52.2971649169922,,,,,,,,,,,,,,,,
,3989236117.223,58.8962860107422,50.0038986206055,,,2,,,,20.590000089407,,,,,,,58.8962860107422,58.8962860107422,50.0038986206055,50.0038986206055,,,93.0523452758789,,,,40,59.6063079833984,0,0,0,0.039520263671875,51.808406829834,,,,,,,,,,,,,,,,
,3989236357.23,60.2210502624512,50.0015602111816,0.00104800235588606,1.12134071201673E-6,1,0.999253354069792,40.0298881530762,1.98168368179496,20.5799993127584,0.00504096115283069,0.00118685339234914,0.25,4.59737890120399E-5,0.00104264981868882,5.30072990915698E-5,60.2209930419922,60.2209930419922,49.9758224487305,50.0272979736328,47.2439725878704,17.0535533615165,93.257209777832,0,0,0,40,59.712646484375,1,4,1,1.8988037109375,53.7634429931641,,,,,,,,,,,,,,,,
,3989236697.962,65.223445892334,50.0132579803467,0.00100563959940914,9.66179495614072E-7,1,0.999253354069792,40.0298881530762,1.98166218871735,20.5799993127584,0.00484730400589679,0.00111816079663934,0.25,4.01586520928193E-5,0.00100176960385127,4.63907555359717E-5,65.2237701416016,65.2237701416016,50.0038986206055,50.0226173400879,47.2158339611781,17.0536430408006,94.2719192504883,0,0,0,40,64.6850051879883,1,4,1,1.90078735351562,55.7184753417969,,,,,,,,,,,,,,,,
,3989236733.688,65.6290588378906,49.9945373535156,,,2,,,,20.6100002416968,,,,,,,65.6290588378906,65.6290588378906,49.9945373535156,49.9945373535156,,,94.3775405883789,,,,40,66.2648620605469,0,0,0,0.044097900390625,51.808406829834,,,,,,,,,,,,,,,,
,3989237044.7445,70.2026405334473,50.013256072998,0.000966186156681117,1.01323741483663E-6,1,0.999253354069792,40.0298881530762,1.9940804476543,20.6000003963709,0.00469359841798576,0.0010616004971827,0.25,3.50612205980631E-5,0.000963372418575723,4.04877675271548E-5,70.2029571533203,70.2029571533203,50.0085754394531,50.017936706543,46.9883800620819,17.0555645821042,95.1078491210937,0,0,0,40,69.6359481811523,1,4,1,1.9036865234375,54.7409591674805,,,,,,,,,,,,,,,,
,3989237350.26,75.2109069824219,49.9992179870605,,,2,,,,20.6300003939867,,,,,,,75.2109069824219,75.2109069824219,49.9992179870605,49.9992179870605,,,96.2523880004883,,,,40,74.6125183105469,0,0,0,0.03570556640625,52.7859268188477,,,,,,,,,,,,,,,,
,3989237394.4635,75.1765594482422,49.9968776702881,0.000931356041376853,8.8330276553056E-7,1,0.999253354069792,40.0298881530762,1.98190351422809,20.6199996173382,0.00450395673564351,0.00099967374418966,0.25,3.06050676398093E-5,0.000929280379028875,3.5309635782046E-5,75.1768798828125,75.1768798828125,49.9945373535156,49.9992179870605,47.2072360474665,17.0494987278515,96.2079620361328,0,0,0,40,74.589111328125,1,4,1,1.89743041992187,55.2297172546387,,,,,,,,,,,,,,,,
